문장,유형,극성,시제,확실성,label
북한이 핵무기로 세계를 위협한다는 것을 가장 두려워하는 것은 무엇인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"금요일인 17일은 밤부터 구름가피가 흐려진 낮부터 밤 사이 전남과 경기 남부, 강원남부 내륙, 충청지역의 동부, 전남 북부, 경상 서부 등 소나기가 오는 곳이 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
병원내장 진단이 받더라도 입원치료를 받을만큼 특별한 사람이었다는 것을 입증하지 못하면 30만원 이상의 보험금을 받기 어려울 것으로 예상된다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
한편 17일 낮 기온은 전날에 비해 3~5도 안팎까지 올라 평년보다 조금 높겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
무기로 나라를 침략하는 북한이 가장 두려워 하는 것이 뭘까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
서방 지인들이 흔히 보던 희망적 사고나 확증 편향 오류가 있다.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
왠지 꽃처럼 짙은 향기가 끼는 곳이 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂의 국내 보급 계획은? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 이번에 개발한 코로나19의은 무엇인가요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
그렇다면 우리나라 전통 의학은 층 트릴을 가진하는지 인식되지 않을까요?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
국내 성공룡이의 생존 전략을 준비하고 있나.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"역사적인 30일은 전국에 지진도 많고 밤부터 시간이 흐려져 있으며, 새벽부터 그 사이 서울, 경기 남부, 강원 중, 남부 내륙, 충청권 전남, 전북 동부, 진주지방 내륙, 경상 서부지역에 소나기이 오는 곳이 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
불안과 위험스러운 환경이 인간의 뇌로 하여금 편리함과 안전을 선택하게 만드는 미래 사회는 과연 어떠한 모습일까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"백 교수는 "" 국내에 그런 것이 없다 보니 이번주 2차 시장이 본격 발전되고 있고, 중소형 M도 본격 발전되고 있다 "" 고 말했다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
길쭉한 가슴과 튀겨먹는면 감당할 수조차 없지 않겠나?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
결국 한국 은행은 상대적으로 손쉬운 이자 장사에만 더 몰두할 것이고. 외국인 사업가들은 한국 금융권 더 이상 만나지 않을 듯.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
이유가 뭐징?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
다만 푸드테크협의회에서 대기업과 스타트업 간 협력이 가능할까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
사업을 하고 나서 위플 누르면 가능하다고 믿었어요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"정보화 시대에서 아침에 일어나 잠들어 방에서 컴퓨터로 정보를 전달했으며 정보화 홍수로 생활했다. 낮에 이루어지는 다양한 상황의 주제들이 모두 내 귀에에 있는 것 같은데, 어떤 정보인가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"무모한 돈키호테가, 용감한 영웅인가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 노인일자리 증가시켰 하는 게 지겹지도 않으냐. ＂,대화형,부정,현재,불확실,대화형-부정-현재-불확실
혈액 조사결과란 무엇인가?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
하지만 그들이 그곳을 생각한다면 힘들지 않을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
까마득 잊고 있었던 걸까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
미래에서 사장도 될까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"금요일인 17일은 전국에 구름이 많고 밤이 추워고 죽겠으며. 강원도는 그 사이 서울은 경기 남부 · 강원 중 · 남부 내륙, 충청권 쓰촨, 전북 동부 · 진주 북부 내륙, 경상지역 내륙에 소나기까지 오는 곳이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"과연 서양 학자들이 흔히 말하는 희망사항이었을까, 아니면 확인편향 오류였을까.",대화형,미정,과거,불확실,대화형-미정-과거-불확실
하지만 그들이 그곳을 생각한다면 힘들지 않을까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
우리는 컴퓨터나 스마트폰이 흔들릴때는 무엇을 하나요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 임신 확진자가 태아나 신생아에게 코로나19를 통과 시킬 수 있을까요 "" ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 확진과 환자와쟁이가 같이 친하 같이 지내도 되나?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
서울 강수량은 6시40㎜로. 충남서해전과 전북전체부엔 5㎜경로 비가 흐르리라.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
""" 확진된 산모와 신생아는 어떤 공간에서 나올 수 있을까요? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"이튿날인 18일 아침최저기온은 19~23도, 낮최고기온은 26~32도를 기록할 전망이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 환자에게 편의성이면 것택은요? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
거기에 웬 버거시장인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
과연 한명만 죽음이 일어날까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"기자님, 뭐가 신경 가소성 효과일까요?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
긴 밥과 비긴 나물과 비슷 할 수도 없다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
"토론토 블루맨스리그가 목표인 2020년 메이저리그에 선발준비하는 류현진, 33 % 의 올해 목표는 어떨까.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
오늘 삼성테크협명회에서 대기업과 스타트업 간 협력방송이합니다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
불안하고 고통스러운 환경이 내 뇌인으로 하여금 편리함과 죽음을 생각하게 만드는 미래 작가는 과연 어떠한 생각일까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
핵무기으로 세상을 위협하는 북한이 가장 두려워 하는 것이 뭘까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 청년 일자리 "" 이란 영화가 만드는 것에 지치지 않았나요??",대화형,부정,현재,불확실,대화형-부정-현재-불확실
위험하고 위험한 환경이 인간의 뇌로 하여금 편리함과 안전을 선택하게 될 때 이 사회는 어떤까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"이튿날인 18의 서울최저기온은 19 ~ 23도, 낮최고기회는 26 ~ 32도를 기록할 전망입니다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
""" 이번에 개발된 코로나19 검사 한번요나요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
어떤 스윙일까요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 임산부의 고통 "" 이 임신 과정에 어떤 영향을 끼치는가?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
지금 활동 중인 유아인 RBID = 19가 연상될 위험은 무엇인가?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
한편 17회 낮 기온은 전날에 비해 3 ~ 5도 안팎까지 올라 평년보다 조금 높겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
코로나 관련 기사를 올리지 않아도 되는 날은 반드시 올 것이다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"특히, 소나기가 내리는 지역에선 돌풍과 함께 화산 · 번개가 치고 중부내륙 지역을 중심으로 우박이 떨어지는 곳이 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
또 어떤가야 할 일이 아니라 하여 책화할 것인가.,대화형,부정,과거,불확실,대화형-부정-과거-불확실
＂ 새로 통과된 코로나19 검사법은?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
남자랑 어떻게 대화가 될 수가 있을까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
신종 코로나바이러스 감염증 ( 우한 폐렴 ) 을 처리하고 내수를 정상화해야 하는 데에서 약속한 2000억 규모 ( 약 2조원 ) 규모로 추가 행사를 전혀 이행하긴 어려울 것으로 보인다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
불안하고 위험스러운 환경에서 인간의 존재로 하여금 편리함과 안전을 선택하게 하는 이 사회는 과연 어떠한 모습인가.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"K9호 태풍, 메이킹 ( KYU BK )'은 2일부터 3일 동안 전국에 태풍이 강하게 부는 일부 지역에 400㎜ 이상의 물벼락이 쏟아질 것으로 예상된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"자연재해와 태풍, 여름의 복합적 요인으로 승용차 이용률도 증가하여 추위가 인해 점검을 미뤘고 사망자이 증가했을 것으로 확신합니다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
"특히 소나기가 내리는 도시는 돌풍과 함께 천둥, 번개를 맞는 곳이 되겠고, 중부 내륙을 중심으로 초대박이 떨어지는 이유가 있겠습니다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 코로나19로 확진이 사람에게도 마스크를 착용해야 하나. ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그렇다면 어떤 처벌받을 만한 사건들이 있을까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
근데 저 푸드업협의 시대에서 일반인과 같이 장사가 과연 가능할까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"정보의에 의해 아침에는 죽을 때까지 화면과 너머로 시간을 전달받으며 공포의 홍수 속에서 생활한다. 낮에 흐르는 다양한 내용의 주제가 정말 내 뇌에 있는 것일까, 아니면 정보일까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
그렇다면 조선 최고의 명문대는 어딜까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
이튿날인 18일 아침최저기온은 19 ~ 23도. 낮최고기온은 19 ~ 23도를 기록할 전망입니다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
대테러 작전이라지만 전쟁을 불사 할 만큼 그렇게 긴박한 상황이었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
예상 강수량은 5시40㎜로. 충남서해전과 전북전서부엔 5㎜ 내외로 비가 내리리라.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 확진된 사람들은증에 침구류가 재사용이 되는가? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"""5G와 인공지능""의 진화로 미래는 어떻게 될까요?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"장마와 태풍, 여름이라는 계절적 요인에서 승용차 이용률도 증가하여 추위가 오면 점검을 미뤘던 고장이 증가할 것으로 예상됨.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
"과연 비즈니스, 사회, 국가 중 어느 쪽이 가장 가까운가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 산모나 잘 치료하나요? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 노인일자리 증가를 비판하는 게 지겹지도 않으냐? ＂,대화형,부정,현재,불확실,대화형-부정-현재-불확실
＂ 확진된 영아 옷과 침구류가 불법사용이 되는가? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
산속에 호환을 구할 수는 없을까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
사업을 하고 나서 바닥만 올라가면 끝난다고 믿었어요.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
송배우는 배우들과 작품 소유 정리가 실패한 것일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"인공지능이 기계와 바둑이 돼 사람들을 사방으로 내몰고 있는 지금, 인도주의는 어디에 있는가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
내가 이가에 있어서 오래 전에 잊어버렸나요.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
공짜로 돈을 나눠주겠다는 데 반대할 도민이 과연 있을까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"＂ 는 생선집집이던데, 그집인가?.?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
공짜 돈을 주는 것에 반대할 사람은는 없다.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
공짜 돈을 주는 것에 반대하는 도민 사람도 있나요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
한편 17일 낮평이 전날 대비 3. 5도 내외로 올라 평년 확률이 조금 높네요.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"AI가 기계와 바둑으로 지구 곳곳에서 사람을 구하는 지금, 인간다워 이란 어디에도?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 혈액방사선 구하기란 무엇인가? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
오! 왜 아내의 필적으로 무시당하지?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
공짜 선물 주는 것에 반대할 사람이 누가 있나요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
핵무기으로 세상을 위협한 자들이 무엇을 두려워 하는 것이냐?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
혜나 감독이 버로우일 때는 어떻게 하는가.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"한국의 비즈니스, 일본, 국가 중 어느 한쪽이 더 가까운가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
그래도 막상 한쪽을 건드린다면 매장가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"제입생의 마이웨이, MAMASA A ) 이 곧 2 / 3일의 뜨거운 바람과 함께 일부 악플러들의 400만의 시한폭탄이 시작된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"장마와 태풍, 여름의 복합적 요인으로 인해 이용청도 증가하여 추위가 오면 점검을 미뤘지만 사망자도 증가할 거라고 확신합니다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
＂ 모유 비누로 아이에게 코로나가 전염시킬 위험 있나요? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
송송가 지인은 작품의 소유권을 이해하지 못했나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"아침에 일어나서 잠이 들 때까지 스크린을 통한 사람들의 뇌에 입력받으며 정보의 흐름 속에 살아가는 정보화 시대. 그리고 하루 동안 내리는 모든 의사결정의 주체는 과연 나 일까, 아니면 내 뇌로 들어와도 정보 일까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
혈액암기란은? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
한편 17일의 기온에 전날 대비 3 ~ 5회 단위로 올라 평년 수준이 조금 높겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
아! 어찌 부인의 필치라고 소홀히 해져서야 되겠습니까.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
국보 1호♡ 숭례문 현판는도 썼나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
제9호의 쏭삭 ( MAYSAE ) 에 오는 2 ~ 3월의 강한 바람과 함께 일부 지역에는 100개의 물폭탄이 예상된다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
국내 유통 공룡들은 어떤 생존환경을 준비하고 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 모유 수유로 영아니 코로나가 전염될 위험은?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"이달 24 ~ 24일 ( LA ), 스페인 뉴욕에서 열리는 국내최대 아이돌 전시회 모바일 팬클럽 중 온라인 카페 ( LA ) 에 참가하는 글로벌 팬클럽도 있을 것으로 보임.",예측형,부정,현재,불확실,예측형-부정-현재-불확실
"미국 돈키호테가, 용감한 영웅의.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
언제쯤 코로나19 관련 기사를 쓰지 않아도 되는 세상이 오나요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
국가의 미래가 결정될 정도로 중요한 자리에서 일을 하기 위해 나선 사람들은 어디인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"또 빙하의 공기가 녹은 물이 토양을 부었거나, 강과 호수 등 식수원에 감염될 가능성도 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
북한 핵보다 3분의 1에 투자한 핵 경제력이 과연 인구 위기에 놓인 남한의 마지막 모습일까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그렇다면 제주도 · 수도권의 지역 중 눈여겨볼 만한 곳은어디인가요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"결국 한국 은행들은 상대적으로 손쉬운 이자 장사에 다시 몰두하는 것이고, 외국인 투자자들이 한국 금융사를 더 이상 쳐다보지 않을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
매운 밥과 튀긴 음식과 비슷할 수도 있겠다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
국가의 미래가 보장될 정도로 중요한 자리에서 나라를 지키기 위해 노력하는 사람들은 어디인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
영구와 단종의 가복은 참 벼슬 양반들의 삶을 살았다.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
아무리 병원소장 진단을 받았더라도 입원 치료를 받은 만큼 특별한 상황이 아님을 증명하지 못하면 1주일 이상의 치료를 받기 어려울 전망이다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
국보 1호♡ 숭례문 현판은 누가 썼을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
그것은 서양 학자들이 흔히 저지르는 경고사항이었는가. 그것은 확인편향이 아니었는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
알베르토 블루제이스 1선발로 2020년 메이저리그를 시작한 류현진 ( 33 ) 의 올해 성적표는 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 기존 제품과 다른 제품이 뭘까요? """,대화형,미정,현재,불확실,대화형-미정-현재-불확실
한일 관광산업이 당면한 문제의 해결책을 한일 협력으로 찾아보는 것은 당연한?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
또 어찌 부인이 결혼 할 수 없다고 하고 책 구매할려나.,대화형,부정,과거,불확실,대화형-부정-과거-불확실
그렇다면 조선의 댓가는 누굴까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
가장 주목할 만한 내용으로는 어떤 것이든.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 임신부터에이가 경과가 큰 영향을 미치나?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그렇다면 서울과 서울의 다양한 지역에서 살아야할 그 곳은 어디길래.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 코로나19에 연관된 상황에서도 마스크를 착용을 하나?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
독일 출신 베네딕트 16세와 아르헨티나 출신 프란치스코 교황 사이엔 무슨 일이 있었을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"이제 국내 은행들은 상대적인 부동산투자 사업에 다시 집중하고, 국내 투자자들이 더 이상 한국 금융 투자자들을 쳐다보지 않았을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
신종 코로나바이러스 말기 때 ( 우한 폐렴 ) 사태 해결하는 내수 살리에 힘써야 할 중국이 미국과 약속하는 2000만원 기부'약 ( 억 ) 추가 기부로 제대로 나오긴 어려울 것이다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
그럼 저분의 지역구 민원창이었다는 말씀이신가요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 노인일자리 증가한다고 비판하는 게 지겹지도 않노? ＂,대화형,부정,현재,불확실,대화형-부정-현재-불확실
불안과 위험한 환경이 인간의 뇌로 하여금 편리함과 안전을 선택하게 할 때 미래 사회는 어떻게 될까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
다만 푸드업협의회에도 강남스타일과 스타트업의 협력이 가능할까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
침대는 어떨까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"과연 우리는 한국의 민족, 일본, 국가는 어느 쪽에 가까울까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
예상 강수량은 5∼40㎜로. 충남서해전과 전라전서시엔 3㎜ 내외의 비가 내리리라!,예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂확진 임신부가 태아나 신생아에게 코로나를 전염시킬 수 있나?＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"그렇다면 서울, 수도권의 집 중 눈여겨볼 있는 곳이 어디일까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
여자가 돈을 주면 하는데 거절하는 구석은 몇이나 있을까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"＂ 네트워크를 업그레이드할 때마다, 새 시즌이 될 때마다 고객들에게 또 다른 서비스를 드려야지 생각.?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
엥? 조선 군대는 그냥 겁쟁이 집단 아닌가?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
국내 유통 공룡들은 어떤 새로운 전략으로 준비하고 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 확진된 영아 옷과 침구류가 불법사용이 되는가?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"그렇다면, 조선시대 얼마나 겁녀였을까요?",대화형,미정,과거,불확실,대화형-미정-과거-불확실
"결국 국내 은행들은 상대적으로 손쉬운 이자 사업에만 집중하고, 외국인 투자자들은 아닌 이상 한국 부동산회사들을 쳐다보지 않았을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
저 내륙은 안개가 짙게 부은 곳이 있겠습니다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
장자연 사망자가 중국에서 많았된 이유가 있지.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"박진영 교수는 "" 국내에 그런 게 없다 보니 이번주 2차 시장이 본격 발전되고 있으며, 중소형 M 일도 본격 발전하고 있다 "" 고 말했다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
"한국의 비즈니스, 사회, 국가 어느 어느 쪽이 더 가까운가요?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
확실히 백내장 진단을 받았어도 미국에서 치료까지 받을 만큼 특별한 상황이었음에도 입증되지 못하면 3천만원 이상의 보험금을 받기 어려울 사안이다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
17시면 예비신부와 충청권을 중심으로 서리가 내리는 곳이 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 확진된 산모와 아기가 같이 방에서 지내도 되나? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"음, 그 중 어떤 장면이 가장 효과적이었을까요.",대화형,미정,과거,불확실,대화형-미정-과거-불확실
송 큐레이터는 지인들과 작품의 정리가 실패한 것일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"아침에 일어나서 잠이 들 때까지 스크린을 켜며 뇌에 입력 읽으며 무한들의 홍수 속에 살아가는 정보화 시대. 과연 하루 동안 내리는 다양한 의사결정에 주체는 과연 나 일까, 아니면 나의 뇌 속에 들어와 있는 일까일까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
도시가 서해상을 중심으로 화산과 함께 화산 · 번개를 치는 이유가 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"금요일인 1주일 밤부터 루머가 많다가 흐려져 서울과 그 사이 서울, 경기 진주, 강원 중남과 내륙, 충청과 전남 진주, 전남 진주, 등 서부에 태풍이 오는 이유가 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
국내 성룡이의 생존 전략에 신선하고 있다.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
신종 코로나 바이러스 규모 ( 신종 폐렴 ) 을 처리하고 사법부를 정상화해야 하는데 중국이 미국과 합작한 2000억 규모 ( 약 2조원'규모 의 추가범죄를 제대로 이행하기는 어려울 것으로 보인다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
독일의 베네딕트 16세와 영국과 프란치스코세 사이에 무슨일이 일어났는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
＂ 성동구청과 성동경찰서를 옮겨 왕십리경찰역 왕십리역 일대로 비즈니스 타운을 조성할 수 있다. ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
산에 호환되는 걸 피할 수 없을까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
공짜로 돈을 나눠주겠다는데 거절할 팬이 과연 있을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 네트워크를 제공해면 "" 은 손님마다 고객에게 또 하나의 재료를 제공해야 하지 않을까요? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"특히 소나기와 불 새는 바람과 같이 천둥 · 번개를 맞는 곳이 있겠고, 이 둘을 중심으로 블박이 없는 곳이 있을겠죠?",예측형,미정,미래,불확실,예측형-미정-미래-불확실
국보♡♡ 숭례문 현판은 누가 썼나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
대테러 작전이 될만큼 상황이 급했나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
이가 앞으로 어떻게 할까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
한일 관광산업이 당면한 문제의 해결책을 한일 여행로 찾아보는 것은 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"미국 없는 한국의 기업. 사회, 정치가 어느 면 더 가까울 것인가.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
북한이 핵무기로 세계를 위협한다는 세상에서 가장 두려워 하는 것은 무엇인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
핵무기로 우릴 위협하는 북한이 가장 중 하는 것이 뭘까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
하지만 20세기 초에 미국인을 더 큰 공포를 주었던건 1929년의 대공생 때이었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
공짜로 돈을 나눠주면 거절할 팬이 과연 있을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"예상 강수량은 5∼대㎜로, 충남경주안과 전라권서부등 5㎜ 내외의 비가 내리겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"금요일인 1주일은 밤부터 구름가 많다 시간이 흐려져 낮과 밤 사이 서울의 경기 진주, 강원 중남과 내륙, 충청과 전북 동부, 전남 진주,등 서부에 소나기가 오는 이유가 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
볼일을 보고 꼭지만 누르고 인생살이라고 생각했는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
우리는 핵무기로 세계를 침략한다는 세상에서 가장 두려워 하는 것은 무엇인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
갑자기 아파트가 흔들리는 이유는 뭔지 모르겠다.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"정해인 18일 아침 황금기언수는 19 ~ 24도, 낮 최고기언은 26, 32도가 예상된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 임신부터에이가 경과가 큰데 미치나? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 본방사선조사기란 무엇인가? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"무모한 돈키호테인가, 용감한 영웅인가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"＂ 네트워크를 업그레이드할 때마다, 다음 시즌이 될 때마다 고객에게도 서로 다른 이벤트를 써야 하지 않을까요? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
송송가 지인은 작품의 소유권을 정리하지 못했나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
이유가 뭐징?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
개봉 1주일 낮 기온 개봉 전날 시간에 봤는데 3 ~ 3번째 영화까지 본 평년보다 조금 낮겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
